x_from,y_from,x_to,y_to
-73.7648,40.6266,-73.7641,40.6264
-73.7538,40.6282,-73.7536,40.628
-73.8108,40.6273,-73.8108,40.6279
-73.8826,40.6262,-73.8813,40.6264
-73.8849,40.6258,-73.8849,40.6258
-73.8106,40.627,-73.8108,40.6273
-73.8848,40.6255,-73.8849,40.6258
-73.8861,40.6271,-73.8864,40.6274
-73.8861,40.6271,-73.8858,40.6269
-73.8848,40.6255,-73.8838,40.6258
-73.8838,40.6258,-73.8826,40.6262
-73.885,40.625,-73.8848,40.6255
-73.8104,40.6264,-73.8106,40.627
-73.7645,40.6254,-73.764,40.6262
-73.8104,40.6263,-73.8104,40.6264
-73.7897,40.6259,-73.7898,40.6264
-73.7783,40.6259,-73.7786,40.6264
-73.7786,40.6265,-73.7787,40.6266
-73.7964,40.6265,-73.7966,40.627
-73.7781,40.6253,-73.7783,40.6259
-73.8101,40.6259,-73.8104,40.6263
-73.886,40.6247,-73.885,40.625
-73.8101,40.6259,-73.8099,40.6257
-73.7778,40.6242,-73.778,40.625
-73.8869,40.6244,-73.886,40.6247
-73.8869,40.6244,-73.8874,40.6249
-73.7615,40.6251,-73.7617,40.6263
-73.7777,40.6238,-73.7778,40.6242
-73.8095,40.6251,-73.8099,40.6257
-73.7777,40.6237,-73.7777,40.6238
-73.7615,40.625,-73.7615,40.6251
-73.8093,40.6253,-73.8088,40.6261
-73.7772,40.6225,-73.7777,40.6237
-73.7771,40.6223,-73.7772,40.6225
-73.8095,40.6247,-73.8095,40.6251
-73.8095,40.6246,-73.8095,40.6247
-73.777,40.622,-73.7771,40.6223
-73.777,40.622,-73.777,40.622
-73.765,40.6246,-73.7645,40.6254
-73.7897,40.6253,-73.7897,40.6259
-73.7651,40.6245,-73.765,40.6246
-73.8873,40.6238,-73.8869,40.6244
-73.8094,40.6241,-73.8095,40.6246
-73.8876,40.6235,-73.8873,40.6238
-73.7896,40.6249,-73.7897,40.6253
-73.7775,40.621,-73.777,40.622
-73.7656,40.6241,-73.7651,40.6245
-73.7896,40.6248,-73.7896,40.6249
-73.7614,40.6242,-73.7615,40.625
-73.7775,40.6206,-73.7775,40.621
-73.7776,40.6204,-73.7775,40.6206
-73.8091,40.6233,-73.8094,40.6241
-73.766,40.6236,-73.7656,40.6241
